condition,baseline,n_pairs,zyra_wins,baseline_wins,discordant,p_value,fieldAccuracy_mean_delta,fieldAccuracy_median_delta,fieldAccuracy_delta_ci95_low,fieldAccuracy_delta_ci95_high,fieldAccuracy_randomization_p,totalTokens_mean_delta,totalTokens_median_delta,totalTokens_delta_ci95_low,totalTokens_delta_ci95_high,totalTokens_randomization_p,wallTimeMs_mean_delta,wallTimeMs_median_delta,wallTimeMs_delta_ci95_low,wallTimeMs_delta_ci95_high,wallTimeMs_randomization_p,communicationBytes_mean_delta,communicationBytes_median_delta,communicationBytes_delta_ci95_low,communicationBytes_delta_ci95_high,communicationBytes_randomization_p,holm_adjusted_p
no_fault,single_agent,15,10,0,10,0.001953125,0.07777777777777778,0.08333333333333337,0.04444444444444446,0.1111111111111111,0.001953125,1379.2666666666667,1374.0,1356.1983333333333,1400.7333333333333,6.103515625e-05,3439.2,3557.0,3178.3333333333335,3667.873333333333,6.103515625e-05,419.93333333333334,344.0,367.06666666666666,473.2,6.103515625e-05,0.0078125
no_fault,static_chain,15,10,0,10,0.001953125,0.08888888888888888,0.08333333333333337,0.055555555555555546,0.12222222222222222,0.001953125,334.06666666666666,351.0,309.0,357.53333333333336,6.103515625e-05,643.0666666666667,733.0,346.1983333333333,917.9333333333333,0.00146484375,-376.8666666666667,-461.0,-431.00166666666667,-321.79833333333346,6.103515625e-05,0.0078125
no_fault,static_star,15,10,0,10,0.001953125,0.09444444444444443,0.08333333333333337,0.05555555555555556,0.12777777777777777,0.001953125,-395.73333333333335,-305.0,-483.26666666666665,-314.06500000000017,6.103515625e-05,-1197.4,-1316.0,-1509.2683333333334,-870.7316666666668,0.000244140625,-1160.8,-1062.0,-1320.0666666666666,-1008.6,6.103515625e-05,0.0078125
no_fault,broadcast,15,10,0,10,0.001953125,0.08333333333333333,0.08333333333333337,0.055555555555555566,0.1111111111111111,0.00048828125,-3399.6,-3402.0,-3425.0,-3375.8,6.103515625e-05,-591.0,-499.0,-967.0716666666667,-226.65666666666755,0.0098876953125,-15703.8,-15768.0,-15758.0,-15649.131666666668,6.103515625e-05,0.0078125
agent_loss,single_agent,15,13,0,13,0.000244140625,0.9888888888888889,1.0,0.9722222222222222,1.0,6.103515625e-05,1904.7333333333333,1894.0,1886.9333333333334,1922.7333333333333,6.103515625e-05,4579.733333333334,4572.0,4208.663333333334,4959.544999999999,6.103515625e-05,435.73333333333335,522.0,383.6,487.2,6.103515625e-05,0.0009765625
agent_loss,static_chain,15,13,0,13,0.000244140625,0.27777777777777773,0.25,0.2222222222222222,0.33888888888888885,6.103515625e-05,885.7333333333333,892.0,860.6,910.5333333333333,6.103515625e-05,1396.8666666666666,1562.0,959.4666666666667,1833.9333333333334,6.103515625e-05,-287.0,-266.0,-376.8666666666667,-192.86666666666667,0.00048828125,0.0009765625
agent_loss,static_star,15,13,0,13,0.000244140625,0.25555555555555554,0.25,0.2,0.31666666666666665,6.103515625e-05,247.06666666666666,326.0,159.59833333333333,325.6683333333332,0.00048828125,-272.0,-244.0,-718.805,177.8,0.26666259765625,-810.2666666666667,-767.0,-961.7383333333333,-670.6666666666666,6.103515625e-05,0.0009765625
agent_loss,broadcast,15,9,1,10,0.021484375,0.061111111111111116,0.08333333333333337,0.027777777777777776,0.09444444444444443,0.009765625,-2781.266666666667,-2800.0,-2797.866666666667,-2763.8,6.103515625e-05,495.1333333333333,107.0,65.39666666666668,951.6683333333332,0.05499267578125,-11656.933333333332,-11591.0,-11707.933333333332,-11606.6,6.103515625e-05,0.021484375
